Date,Time,Magnitude,Epicenter
B.S:2072-2-28A.D:2015-06-11,Local:00:26UTC:18:41,4.0,Dolakha
B.S:2072-2-27A.D:2015-06-10,Local:02:50UTC:21:05,4.1,Sindhupalchowk
B.S:2072-2-27A.D:2015-06-10,Local:13:36UTC:07:51,4.3,Sindhupalchowk
B.S:2072-2-27A.D:2015-06-10,Local:14:51UTC:09:06,4.2,Dolakha
B.S:2072-2-24A.D:2015-06-07,Local:22:35UTC:16:50,4.1,Dolakha
B.S:2072-2-24A.D:2015-06-07,Local:11:02UTC:05:17,4.6,Sindhupalchowk
B.S:2072-2-23A.D:2015-06-06,Local:22:45UTC:17:00,4.0,Dolakha
B.S:2072-2-23A.D:2015-06-06,Local:02:33UTC:20:48,4.2,Tibet
B.S:2072-2-22A.D:2015-06-05,Local:10:02UTC:04:17,4.1,Sindhupalchowk
B.S:2072-2-22A.D:2015-06-05,Local:14:16UTC:08:31,4.0,Kathmandu
B.S:2072-2-21A.D:2015-06-04,Local:16:15UTC:10:30,4.0,Dolakha
B.S:2072-2-20A.D:2015-06-03,Local:17:38UTC:11:53,4.5,Dolakha
B.S:2072-2-20A.D:2015-06-03,Local:14:39UTC:08:54,4.2,Dolakha
B.S:2072-2-20A.D:2015-06-03,Local:13:37UTC:07:52,4.5,Sindhupalchowk
B.S:2072-2-20A.D:2015-06-03,Local:02:45UTC:21:00,4.1,Sindhupalchowk
B.S:2072-2-19A.D:2015-06-02,Local:10:48UTC:05:03,4.0,Dolakha
B.S:2072-2-19A.D:2015-06-02,Local:02:18UTC:8:33 PM,4.7,Humla
B.S:2072-2-18A.D:2015-06-01,Local:04:35UTC:22:50,4.0,Sindhupalchowk
B.S:2072-2-17A.D:2015-05-31,Local:19:39UTC:1:54 PM,4.2,Lamjung
B.S:2072-2-16A.D:2015-05-30,Local:03:58UTC:10:13 PM,4.5,Nuwakot
B.S:2072-2-16A.D:2015-05-30,Local:02:20UTC:8:35 PM,4.0,Rasuwa
B.S:2072-2-16A.D:2015-05-30,Local:07:37UTC:1:52 AM,4.0,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:06:22UTC:12:37 AM,4.2,Dolakha
B.S:2072-2-15A.D:2015-05-29,Local:11:05UTC:5:20 AM,4.2,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:14:15UTC:8:30 AM,4.0,Gorkha
B.S:2072-2-15A.D:2015-05-29,Local:18:15UTC:12:30 PM,4.8,Dhading
B.S:2072-2-15A.D:2015-05-29,Local:21:29UTC:3:44 PM,5.2,Dhading
B.S:2072-2-14A.D:2015-05-28,Local:08:52UTC:3:07 AM,4.0,Dhading
B.S:2072-2-14A.D:2015-05-28,Local:09:25UTC:3:40 AM,4.0,Dhading
B.S:2072-2-14A.D:2015-05-28,Local:10:57UTC:5:12 AM,4.0,Kathmandu
B.S:2072-2-14A.D:2015-05-28,Local:11:14UTC:5:29 AM,4.2,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:17:21UTC:11:36 AM,4.2,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:17:59UTC:12:14 PM,4.1,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:04:01UTC:10:16 PM,4.0,Sindhupalchowk
